episode,reward,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed
1,15.63363843366046,3.3600000000000025,16.05413119731802,-16.71286412103409,0.0,1.100843995462717,4.448607308273335,0.0,12.816837047895964,-7.950550757612663,-14.734424481890784,-3.3596515789991233,-0.5273409600016271,0.0,453.09970261683844
2,14.787895971004811,3.1800000000000024,12.42190085909643,-17.655598557161007,0.0,1.7600501606118328,4.530006390109492,0.0,11.536632964951545,-8.42843492135793,-15.619739073233339,-3.015749990909513,-0.8542191525657501,0.0,452.6794556575316
3,17.34566523283696,3.6000000000000028,23.47613425382346,-3.715824331365224,0.0,4.311662287030659,3.4165557955747623,0.0,12.777667833091215,7.069672001496091,-19.330738684495635,-27.514304015190213,19.386936102007958,0.0,193.98411360853322
4,3.8866681879043816,1.3800000000000008,-2.802040704539909,2.150029586517651,0.0,4.3950903696899,5.717162278832248,0.0,-1.43360008003196,1.4812676288348363,-15.82758012046658,17.528467664121035,-8.194602509209522,0.0,523.570058623652
5,4.140404801284284,1.680000000000001,-1.156998704864338,-4.299113789700335,0.0,0.6542242538220542,5.2070245123626755,0.0,-0.7683315316795896,-4.02857121880461,-13.481012977117299,-12.134394714984495,11.864117346056126,0.0,494.3677990583216
6,7.006856884487844,2.3400000000000016,-0.9002993242101783,4.625892586386702,0.0,1.4286613945537487,0.7704216975781888,0.0,-0.6267586220530486,2.9669799252664784,-13.54884551265309,22.965292953450437,-1.6210915513341821,0.0,338.2663986924165
7,3.4682052120424522,1.5000000000000009,-0.4200238926552198,-5.792261271831999,0.0,4.66442867106108,1.5908815508079108,0.0,-0.40173840328469906,-9.186335574985458,-12.781234308946312,-16.3127178544429,12.172181731235597,0.0,663.8332305516548
8,5.7463049415195595,1.9800000000000013,-3.3086840019385377,4.609428003493812,0.0,3.6250630203977376,5.419734790637392,0.0,-1.3416796338537271,4.704145250946716,-11.51950613947746,12.243969360109048,23.64168829673633,0.0,234.71251447634805
9,3.680723414981908,1.5000000000000009,-2.7808814307611227,1.7437746042956945,0.0,5.75661976834151,3.572764078594707,0.0,-3.079191320887668,4.016225191627375,-12.883421058248794,7.9803609009774945,18.81186603797712,0.0,424.6908158240983
10,2.9795527733580767,1.4400000000000008,0.6093161659718467,0.4668355808383024,0.0,5.876982964628816,2.8812884389419615,0.0,-0.4442714646872751,1.357237981867578,-14.623394545278877,5.909188117527343,0.34499633779827343,0.0,525.2281008836906
11,3.389389552599336,1.5000000000000009,-2.3303805876572645,-0.002809653028995161,0.0,6.023610564249264,2.9930459841934383,0.0,-3.640474178046653,-0.11824942772108119,-15.395093864708375,-1.0097952592611517,8.510072328283508,0.0,346.6675025713197
12,3.1677190589860644,1.3800000000000008,-2.145950662570803,-2.667872643325162,0.0,1.5542038254904291,3.3633258995886273,0.0,-4.081504795425844,-5.115508356687119,-13.80406873015058,0.5852430501644044,18.37338072765089,0.0,584.2188171531607
13,2.7143495575076666,1.5000000000000009,-0.332622658762103,0.0009995742062657567,0.0,0.9135367993913714,6.032418331482351,0.0,0.16372654059183764,0.1217888469635473,-14.244193066858935,-3.47164468605079,24.90819455578858,0.0,366.3889255648983
14,3.323850196160139,1.560000000000001,-0.557087657596753,8.889451372097079e-06,0.0,6.282017345120716,3.8355367544500023,0.0,-0.6229433821595022,9.813513770772579e-05,-14.481190546366383,-0.04418871142830087,27.851429804407076,0.0,148.2974848173526
15,3.3269138825306195,1.560000000000001,-0.5728746405976493,-0.0005904106327814163,0.0,0.00563710420564334,3.9324262614442347,0.0,-0.6939724737120196,-0.01385032651031608,-14.48500089166381,-0.9899056295868067,26.933584757296153,0.0,201.9208084389333
16,3.340629593418553,1.560000000000001,-0.5946871107424009,-0.031771380151660686,0.0,6.066129172017044,0.8391301926510177,0.0,-0.36853891833304225,-0.4483441724730219,-14.06434672673537,-5.882116859886561,23.808585310277316,0.0,186.5864068810945
17,3.3264001714144733,1.560000000000001,-0.5199862424315955,0.012325561563515703,0.0,0.9923337045156551,4.948179993464857,0.0,0.1241684525915005,0.5185861649956957,-14.606924269790873,-9.538744516252692,19.069070807481907,0.0,549.1397676729732
18,3.322175364271939,1.560000000000001,-0.5592560353949994,3.8108767099454797e-06,0.0,0.0004870435919492877,3.7567996031336683,0.0,-0.6214676575130328,1.827602049070209e-06,-14.475488646709996,0.015702132097382217,27.993500865334283,0.0,110.09280008914801
19,3.321754572987027,1.560000000000001,-0.5609808972476178,3.892641908394577e-06,0.0,0.0009251068593396639,3.687177702455532,0.0,-0.6276372168178397,-2.3499212451054053e-05,-14.48434611285253,0.02607710405729445,28.19292685913367,0.0,84.94438385911596
20,3.3390316818157397,1.560000000000001,-0.5963059021587158,1.3500625903627993e-07,0.0,0.00013395876078003965,3.741629023689388,0.0,-0.6639191054508132,-3.85103163005059e-06,-14.520107325326439,0.0052440091003984595,28.58055193125645,0.0,46.28483899127154
21,3.324145701591912,1.560000000000001,-0.5670792676977447,2.882906849569112e-06,0.0,0.00023220957705483158,3.664594029312264,0.0,-0.6529736509021444,-1.3063029053321596e-05,-14.51243365323377,0.002171760487194709,28.694758801386605,0.0,31.978390659139983
22,3.330628988588205,1.560000000000001,-0.5946529939278472,-0.024159931011132597,0.0,0.2850533197980223,5.236146173360968,0.0,-0.3317671899721396,-0.24378352570449358,-14.056324842935048,-1.9998896738820369,28.581775011840623,0.0,19.960536640008293
23,3.3265633640312418,1.560000000000001,-0.5731385547414775,4.2559174143538775e-07,0.0,0.00015255706816841297,3.5867875956452338,0.0,-0.6559945705899067,-3.0182198047381088e-06,-14.50816879444892,0.006016122849819819,28.620495781902523,0.0,47.30937240866303
24,3.361463327616087,1.560000000000001,-0.7129622916996348,-0.008033265747588142,0.0,6.047515307873169,1.0617574201965922,0.0,-0.1665681689244383,-0.10466755926783858,-14.503672860371266,-2.090655223284834,-0.8759573855496958,0.0,900.2540585274412
